algorithm,minSup,patterns,runtime,memory
MaxFPGrowth,3,6872,29.500584602355957,398811136
MaxFPGrowth,6,1340,0.3691446781158447,398823424
MaxFPGrowth,9,660,0.15230894088745117,398823424
